school,municipality,lon,lat,unique_id
École élémentaire catholique Pavillon des Jeunes,Lakeshore,-82.733518,42.287806,École élémentaire catholique Pavillon des JeunesLakeshore
Kingsville District High School,Kingsville,-82.7313577,42.0390623,Kingsville District High SchoolKingsville
St John the Evangelist Catholic School,Lakeshore,-82.721295,42.217436,St John the Evangelist Catholic SchoolLakeshore
Belle River District High School,Lakeshore,-82.7111152,42.2881209,Belle River District High SchoolLakeshore
St John the Baptist Catholic School,Lakeshore,-82.706681,42.290113,St John the Baptist Catholic SchoolLakeshore
Belle River Public School,Lakeshore,-82.7005795,42.2894422,Belle River Public SchoolLakeshore
École élémentaire catholique Saint-Ambroise,Lakeshore,-82.6359511,42.2723624,École élémentaire catholique Saint-AmbroiseLakeshore
Cardinal Carter Catholic Secondary School,Leamington,-82.6171272,42.0419259,Cardinal Carter Catholic Secondary SchoolLeamington
Cardinal Carter Middle School,Leamington,-82.6165019,42.0419224,Cardinal Carter Middle SchoolLeamington
Leamington District Secondary School,Leamington,-82.6093978,42.0464973,Leamington District Secondary SchoolLeamington
Mount Carmel Blytheswood Public School,Leamington,-82.6005117,42.0840423,Mount Carmel Blytheswood Public SchoolLeamington
École élémentaire catholique Saint-Michel,Leamington,-82.5946905,42.0425964,École élémentaire catholique Saint-MichelLeamington
Queen Elizabeth Public School,Leamington,-82.59469,42.0444986,Queen Elizabeth Public SchoolLeamington
St. Louis Catholic Elementary School,Leamington,-82.589171,42.054902,St. Louis Catholic Elementary SchoolLeamington
St Louis Catholic School,Leamington,-82.589171,42.054902,St Louis Catholic SchoolLeamington
Centennial Central Public School,Lakeshore,-82.5546418,42.2309055,Centennial Central Public SchoolLakeshore
École élémentaire catholique Saint-Paul,Lakeshore,-82.547196,42.3065843,École élémentaire catholique Saint-PaulLakeshore
Riverview Public School,St. Clair,-82.492989,42.684944,Riverview Public SchoolSt. Clair
Riverview Central School,St. Clair,-82.492989,42.684944,Riverview Central SchoolSt. Clair
East Mersea Public School,Leamington,-82.4898275,42.0863855,East Mersea Public SchoolLeamington
Sir John Moore Community School,St. Clair,-82.4458523,42.8775128,Sir John Moore Community SchoolSt. Clair
St Joseph Catholic School,Chatham-Kent,-82.4389387,42.2593639,St Joseph Catholic SchoolChatham-Kent
Colonel Cameron Public School,St. Clair,-82.4384961,42.8846848,Colonel Cameron Public SchoolSt. Clair
St Joseph Catholic School,St. Clair,-82.437051,42.875924,St Joseph Catholic SchoolSt. Clair
Kapuskasing District High School,Town of Kapuskasing,-82.434808,49.4206235,Kapuskasing District High SchoolTown of Kapuskasing
Kapuskasing District High School,Kapuskasing,-82.434808,49.4206235,Kapuskasing District High SchoolKapuskasing
Tilbury District High School,Chatham-Kent,-82.4332425,42.2519323,Tilbury District High SchoolChatham-Kent
Tilbury Area Public School,Chatham-Kent,-82.4269563,42.259225,Tilbury Area Public SchoolChatham-Kent
Board Site,Sarnia,-82.4074725,42.9752997,Board SiteSarnia
A A Wright Public School,Chatham-Kent,-82.404083,42.5916958,A A Wright Public SchoolChatham-Kent
St Elizabeth Catholic School,Chatham-Kent,-82.400005,42.597222,St Elizabeth Catholic SchoolChatham-Kent
London Road School,Sarnia,-82.3996755,42.979433,London Road SchoolSarnia
P.E. McGibbon Public School,Sarnia,-82.3923003,42.9669062,P.E. McGibbon Public SchoolSarnia
Wallaceburg District Secondary School,Chatham-Kent,-82.3914586,42.5964763,Wallaceburg District Secondary SchoolChatham-Kent
Wallaceburg DSS-Gr. 7 & 8,Chatham-Kent,-82.3914586,42.5964763,Wallaceburg DSS-Gr. 7 & 8Chatham-Kent
King George VI Public School,Sarnia,-82.390997,43.002474,King George VI Public SchoolSarnia
Hanna Memorial Public School,Sarnia,-82.39009,42.975475,Hanna Memorial Public SchoolSarnia
Sacred Heart Catholic School,Sarnia,-82.3898938,43.0060518,Sacred Heart Catholic SchoolSarnia
St Matthew Catholic School,Sarnia,-82.3824017,42.9726601,St Matthew Catholic SchoolSarnia
Holy Family Catholic School,Chatham-Kent,-82.3793434,42.5849366,Holy Family Catholic SchoolChatham-Kent
École élémentaire catholique Saint-Thomas-d'Aquin,Sarnia,-82.3764433,43.0002502,École élémentaire catholique Saint-Thomas-d'AquinSarnia
Rosedale Public School,Sarnia,-82.374705,42.992966,Rosedale Public SchoolSarnia
Errol Road Public School,Sarnia,-82.374296,43.002887,Errol Road Public SchoolSarnia
Northern Collegiate Institute and Vocational School,Sarnia,-82.37407,42.999162,Northern Collegiate Institute and Vocational SchoolSarnia
Lakeroad Public School,Sarnia,-82.374005,43.0117819,Lakeroad Public SchoolSarnia
Queen Elizabeth II School,Sarnia,-82.373422,42.971624,Queen Elizabeth II SchoolSarnia
High Park Public School,Sarnia,-82.3727821,42.9819069,High Park Public SchoolSarnia
